Entity,Code,Year,Annual CO2 emissions
Africa,,1751,0
Africa,,1752,0
Africa,,1753,0
Africa,,1754,0
Africa,,1755,0
Africa,,1756,0
Africa,,1757,0
Africa,,1758,0
Africa,,1759,0
Africa,,1760,0
Africa,,1761,0
Africa,,1762,0
Africa,,1763,0
Africa,,1764,0
Africa,,1765,0
Africa,,1766,0
Africa,,1767,0
Africa,,1768,0
Africa,,1769,0
Africa,,1770,0
Africa,,1771,0
Africa,,1772,0
Africa,,1773,0
Africa,,1774,0
Africa,,1775,0
Africa,,1776,0
Africa,,1777,0
Africa,,1778,0
Africa,,1779,0
Africa,,1780,0
Africa,,1781,0
Africa,,1782,0
Africa,,1783,0
Africa,,1784,0
Africa,,1785,0
Africa,,1786,0
Africa,,1787,0
Africa,,1788,0
Africa,,1789,0
Africa,,1790,0
Africa,,1791,0
Africa,,1792,0
Africa,,1793,0
Africa,,1794,0
Africa,,1795,0
Africa,,1796,0
Africa,,1797,0
Africa,,1798,0
Africa,,1799,0
Africa,,1800,0
Africa,,1801,0
Africa,,1802,0
Africa,,1803,0
Africa,,1804,0
Africa,,1805,0
Africa,,1806,0
Africa,,1807,0
Africa,,1808,0
Africa,,1809,0
Africa,,1810,0
Africa,,1811,0
Africa,,1812,0
Africa,,1813,0
Africa,,1814,0
Africa,,1815,0
Africa,,1816,0
Africa,,1817,0
Africa,,1818,0
Africa,,1819,0
Africa,,1820,0
Africa,,1821,0
Africa,,1822,0
Africa,,1823,0
Africa,,1824,0
Africa,,1825,0
Africa,,1826,0
Africa,,1827,0
Africa,,1828,0
Africa,,1829,0
Africa,,1830,0
Africa,,1831,0
Africa,,1832,0
Africa,,1833,0
Africa,,1834,0
Africa,,1835,0
Africa,,1836,0
Africa,,1837,0
Africa,,1838,0
Africa,,1839,0
Africa,,1840,0
Africa,,1841,0
Africa,,1842,0
Africa,,1843,0
Africa,,1844,0
Africa,,1845,0
Africa,,1846,0
Africa,,1847,0
Africa,,1848,0
Africa,,1849,0
Africa,,1850,0
Africa,,1851,0
Africa,,1852,0
Africa,,1853,0
Africa,,1854,0
Africa,,1855,0
Africa,,1856,0
Africa,,1857,0
Africa,,1858,0
Africa,,1859,0
Africa,,1860,0
Africa,,1861,0
Africa,,1862,0
Africa,,1863,0
Africa,,1864,0
Africa,,1865,0
Africa,,1866,0
Africa,,1867,0
Africa,,1868,0
Africa,,1869,0
Africa,,1870,0
Africa,,1871,0
Africa,,1872,0
Africa,,1873,0
Africa,,1874,0
Africa,,1875,0
Africa,,1876,0
Africa,,1877,0
Africa,,1878,0
Africa,,1879,0
Africa,,1880,0
Africa,,1881,0
Africa,,1882,0
Africa,,1883,0
Africa,,1884,0.021984
Africa,,1885,0.03664
Africa,,1886,0.047632
Africa,,1887,0.047632
Africa,,1888,0.080608
Africa,,1889,0.131904
Africa,,1890,0.296784
Africa,,1891,0.296784
Africa,,1892,0.479984
Africa,,1893,1.799024
Africa,,1894,2.432896
Africa,,1895,3.337904
Africa,,1896,4.257568
Africa,,1897,4.777856
Africa,,1898,6.049264
Africa,,1899,5.517984
Africa,,1900,2.330304
Africa,,1901,3.909488
Africa,,1902,5.82576
Africa,,1903,7.89592
Africa,,1904,8.910848
Africa,,1905,10.262864
Africa,,1906,11.717472
Africa,,1907,12.930256
Africa,,1908,13.402912
Africa,,1909,15.385136
Africa,,1910,17.411328
Africa,,1911,16.865392
Africa,,1912,17.9536
Africa,,1913,19.606064
Africa,,1914,19.551104
Africa,,1915,19.606064
Africa,,1916,23.255408
Africa,,1917,25.343888
Africa,,1918,24.724672
Africa,,1919,25.442816
Africa,,1920,28.051584
Africa,,1921,27.985632
Africa,,1922,23.969888
Africa,,1923,29.044528
Africa,,1924,30.63104
Africa,,1925,32.184576
Africa,,1926,34.437936
Africa,,1927,33.840704
Africa,,1928,34.77136
Africa,,1929,35.804608
Africa,,1930,33.697808
Africa,,1931,29.465888
Africa,,1932,26.626288
Africa,,1933,28.494928
Africa,,1934,32.543648
Africa,,1935,35.914528
Africa,,1936,39.0216
Africa,,1937,41.850208
Africa,,1938,44.019296
Africa,,1939,46.858896
Africa,,1940,49.654528
Africa,,1941,54.029344
Africa,,1942,58.829184
Africa,,1943,60.12624
Africa,,1944,66.640832
Africa,,1945,67.534848
Africa,,1946,68.16872
Africa,,1947,67.945216
Africa,,1948,71.744784
Africa,,1949,77.336048
Africa,,1950,87.250832
Africa,,1951,93.124224
Africa,,1952,101.25464
Africa,,1953,102.544368
Africa,,1954,107.128032
Africa,,1955,117.48616
Africa,,1956,121.930592
Africa,,1957,127.950544
Africa,,1958,137.465952
Africa,,1959,147.9437148
Africa,,1960,156.6733089
Africa,,1961,162.1114929
Africa,,1962,166.4666764
Africa,,1963,176.4812948
Africa,,1964,193.7931092
Africa,,1965,213.8174807
Africa,,1966,221.2908155
Africa,,1967,237.2904975
Africa,,1968,257.5349256
Africa,,1969,278.1612857
Africa,,1970,302.9425181
Africa,,1971,332.2107667
Africa,,1972,352.2526484
Africa,,1973,378.4424003
Africa,,1974,388.8973738
Africa,,1975,387.8694613
Africa,,1976,420.9095179
Africa,,1977,433.7684179
Africa,,1978,463.3461955
Africa,,1979,500.0915225
Africa,,1980,536.633906
Africa,,1981,549.5275602
Africa,,1982,572.7603914
Africa,,1983,595.6132297
Africa,,1984,650.4600814
Africa,,1985,666.8745167
Africa,,1986,690.9040822
Africa,,1987,691.0134021
Africa,,1988,726.2847353
Africa,,1989,699.4772991
Africa,,1990,658.1456513
Africa,,1991,687.394815
Africa,,1992,669.8674
Africa,,1993,710.3431875
Africa,,1994,721.1573174
Africa,,1995,773.2315273
Africa,,1996,783.9010344
Africa,,1997,813.94206
Africa,,1998,838.130286
Africa,,1999,830.3843267
Africa,,2000,891.3701416
Africa,,2001,885.1877852
Africa,,2002,890.4958106
Africa,,2003,966.5776532
Africa,,2004,1033.390326
Africa,,2005,1051.692375
Africa,,2006,1091.649244
Africa,,2007,1134.625113
Africa,,2008,1185.105895
Africa,,2009,1196.466437
Africa,,2010,1220.494175
Africa,,2011,1250.925424
Africa,,2012,1260.971595
Africa,,2013,1277.276337
Africa,,2014,1365.297815
Africa,,2015,1330.236714
Africa,,2016,1354.960916
Africa,,2017,1370.140327
Africa,,2018,1400.84121
Asia,,1751,0
Asia,,1752,0
Asia,,1753,0
Asia,,1754,0
Asia,,1755,0
Asia,,1756,0
Asia,,1757,0
Asia,,1758,0
Asia,,1759,0
Asia,,1760,0
Asia,,1761,0
Asia,,1762,0
Asia,,1763,0
Asia,,1764,0
Asia,,1765,0
Asia,,1766,0
Asia,,1767,0
Asia,,1768,0
Asia,,1769,0
Asia,,1770,0
Asia,,1771,0
Asia,,1772,0
Asia,,1773,0
Asia,,1774,0
Asia,,1775,0
Asia,,1776,0
Asia,,1777,0
Asia,,1778,0
Asia,,1779,0
Asia,,1780,0
Asia,,1781,0
Asia,,1782,0
Asia,,1783,0
Asia,,1784,0
Asia,,1785,0
Asia,,1786,0
Asia,,1787,0
Asia,,1788,0
Asia,,1789,0
Asia,,1790,0
Asia,,1791,0
Asia,,1792,0
Asia,,1793,0
Asia,,1794,0
Asia,,1795,0
Asia,,1796,0
Asia,,1797,0
Asia,,1798,0
Asia,,1799,0
Asia,,1800,0
Asia,,1801,0
Asia,,1802,0
Asia,,1803,0
Asia,,1804,0
Asia,,1805,0
Asia,,1806,0
Asia,,1807,0
Asia,,1808,0
Asia,,1809,0
Asia,,1810,0
Asia,,1811,0
Asia,,1812,0
Asia,,1813,0
Asia,,1814,0
Asia,,1815,0
Asia,,1816,0
Asia,,1817,0
Asia,,1818,0
Asia,,1819,0
Asia,,1820,0
Asia,,1821,0
Asia,,1822,0
Asia,,1823,0
Asia,,1824,0
Asia,,1825,0
Asia,,1826,0
Asia,,1827,0
Asia,,1828,0
Asia,,1829,0
Asia,,1830,0
Asia,,1831,0
Asia,,1832,0
Asia,,1833,0
Asia,,1834,0
Asia,,1835,0
Asia,,1836,0
Asia,,1837,0
Asia,,1838,0
Asia,,1839,0
Asia,,1840,0
Asia,,1841,0
Asia,,1842,0
Asia,,1843,0
Asia,,1844,0
Asia,,1845,0
Asia,,1846,0
Asia,,1847,0
Asia,,1848,0
Asia,,1849,0
Asia,,1850,0
Asia,,1851,0
Asia,,1852,0
Asia,,1853,0
Asia,,1854,0
Asia,,1855,0
Asia,,1856,0
Asia,,1857,0
Asia,,1858,0.436016
Asia,,1859,0.703488
Asia,,1860,0.710816
Asia,,1861,0.5496
Asia,,1862,0.608224
Asia,,1863,0.674176
Asia,,1864,0.637536
Asia,,1865,0.776768
Asia,,1866,0.916
Asia,,1867,0.227168
Asia,,1868,0.186864
Asia,,1869,0.285792
Asia,,1870,0.175872
Asia,,1871,0.223504
Asia,,1872,0.278464
Asia,,1873,0.278464
Asia,,1874,0.84272
Asia,,1875,1.791696
Asia,,1876,1.678112
Asia,,1877,1.736736
Asia,,1878,4.136656
Asia,,1879,4.294208
Asia,,1880,4.56168
Asia,,1881,4.620304
Asia,,1882,5.070976
Asia,,1883,5.554624
Asia,,1884,6.11888
Asia,,1885,6.239792
Asia,,1886,6.767408
Asia,,1887,8.071792
Asia,,1888,9.16
Asia,,1889,11.039632
Asia,,1890,11.973952
Asia,,1891,13.765648
Asia,,1892,14.63768
Asia,,1893,16.088624
Asia,,1894,18.382288
Asia,,1895,21.3428
Asia,,1896,23.024576
Asia,,1897,24.629408
Asia,,1898,29.927552
Asia,,1899,31.085376
Asia,,1900,35.390576
Asia,,1901,41.5864
Asia,,1902,44.209824
Asia,,1903,48.947376
Asia,,1904,54.99664
Asia,,1905,57.466176
Asia,,1906,78.490208
Asia,,1907,84.206048
Asia,,1908,96.267936
Asia,,1909,95.242016
Asia,,1910,94.245408
Asia,,1911,110.367008
Asia,,1912,100.569472
Asia,,1913,110.916608
Asia,,1914,119.908064
Asia,,1915,117.269984
Asia,,1916,126.836688
Asia,,1917,140.22128
Asia,,1918,151.810512
Asia,,1919,169.558928
Asia,,1920,161.194016
Asia,,1921,157.504368
Asia,,1922,166.111104
Asia,,1923,182.57712
Asia,,1924,196.416048
Asia,,1925,199.640368
Asia,,1926,198.592464
Asia,,1927,216.128368
Asia,,1928,225.357984
Asia,,1929,235.43032
Asia,,1930,230.546208
Asia,,1931,216.842848
Asia,,1932,213.57456
Asia,,1933,234.34944
Asia,,1934,263.731056
Asia,,1935,284.835696
Asia,,1936,310.164928
Asia,,1937,330.881184
Asia,,1938,342.349504
Asia,,1939,364.524032
Asia,,1940,409.957632
Asia,,1941,422.49584
Asia,,1942,409.001328
Asia,,1943,401.731952
Asia,,1944,394.730048
Asia,,1945,279.867312
Asia,,1946,262.19584
Asia,,1947,312.748048
Asia,,1948,302.177408
Asia,,1949,383.184784
Asia,,1950,298.531728
Asia,,1951,357.840896
Asia,,1952,399.859648
Asia,,1953,430.22688
Asia,,1954,471.670384
Asia,,1955,538.329536
Asia,,1956,600.133888
Asia,,1957,692.580272
Asia,,1958,978.002208
Asia,,1959,1399.714116
Asia,,1960,1546.247958
Asia,,1961,1402.482425
Asia,,1962,1352.70955
Asia,,1963,1434.400039
Asia,,1964,1515.801386
Asia,,1965,1660.013437
Asia,,1966,1806.233174
Asia,,1967,1835.53046
Asia,,1968,2027.218965
Asia,,1969,2298.404469
Asia,,1970,2701.077838
Asia,,1971,2960.184236
Asia,,1972,3128.311047
Asia,,1973,3358.65654
Asia,,1974,3420.204433
Asia,,1975,3591.308024
Asia,,1976,3824.266431
Asia,,1977,4070.302967
Asia,,1978,4251.456572
Asia,,1979,4425.78207
Asia,,1980,4426.556519
Asia,,1981,4401.417332
Asia,,1982,4551.233238
Asia,,1983,4735.002864
Asia,,1984,5007.262396
Asia,,1985,5306.530771
Asia,,1986,5521.441065
Asia,,1987,5749.035152
Asia,,1988,6197.292134
Asia,,1989,6414.517145
Asia,,1990,6596.534409
Asia,,1991,6915.502059
Asia,,1992,7177.097822
Asia,,1993,7513.675625
Asia,,1994,7843.636025
Asia,,1995,8161.141845
Asia,,1996,8513.204478
Asia,,1997,8619.109596
Asia,,1998,8354.189717
Asia,,1999,8600.808354
Asia,,2000,9031.309697
Asia,,2001,9182.150896
Asia,,2002,9683.731108
Asia,,2003,10571.22843
Asia,,2004,11543.93691
Asia,,2005,12362.8245
Asia,,2006,13188.8201
Asia,,2007,13909.60321
Asia,,2008,14756.73392
Asia,,2009,15337.65747
Asia,,2010,16348.19283
Asia,,2011,17583.03895
Asia,,2012,18279.89381
Asia,,2013,18380.13148
Asia,,2014,18703.58581
Asia,,2015,18859.95146
Asia,,2016,19090.21862
Asia,,2017,19472.85094
Asia,,2018,20074.10091
Europe,,1751,9.350528
Europe,,1752,9.354192
Europe,,1753,9.354192
Europe,,1754,9.357856
Europe,,1755,9.36152
Europe,,1756,10.006384
Europe,,1757,10.010048
Europe,,1758,10.013712
Europe,,1759,10.017376
Europe,,1760,10.017376
Europe,,1761,10.97368
Europe,,1762,10.977344
Europe,,1763,10.981008
Europe,,1764,10.984672
Europe,,1765,10.988336
Europe,,1766,12.259744
Europe,,1767,12.263408
Europe,,1768,12.267072
Europe,,1769,12.270736
Europe,,1770,12.2744
Europe,,1771,13.61176
Europe,,1772,13.615424
Europe,,1773,13.619088
Europe,,1774,13.622752
Europe,,1775,13.626416
Europe,,1776,15.037056
Europe,,1777,15.04072
Europe,,1778,15.044384
Europe,,1779,15.048048
Europe,,1780,15.055376
Europe,,1781,16.843408
Europe,,1782,16.847072
Europe,,1783,16.8544
Europe,,1784,16.858064
Europe,,1785,16.865392
Europe,,1786,19.148064
Europe,,1787,19.155392
Europe,,1788,19.159056
Europe,,1789,19.166384
Europe,,1790,19.173712
Europe,,1791,21.41608
Europe,,1792,21.8924
Europe,,1793,21.91072
Europe,,1794,21.877744
Europe,,1795,21.888736
Europe,,1796,22.947632
Europe,,1797,24.0908
Europe,,1798,25.091072
Europe,,1799,26.424768
Europe,,1800,27.835408
Europe,,1801,27.688848
Europe,,1802,36.489776
Europe,,1803,31.187968
Europe,,1804,33.972608
Europe,,1805,33.074928
Europe,,1806,34.709072
Europe,,1807,36.49344
Europe,,1808,34.668768
Europe,,1809,34.683424
Europe,,1810,36.958768
Europe,,1811,39.13152
Europe,,1812,40.520176
Europe,,1813,40.696048
Europe,,1814,41.564416
Europe,,1815,42.883456
Europe,,1816,46.998128
Europe,,1817,48.709216
Europe,,1818,48.85944
Europe,,1819,49.181872
Europe,,1820,49.892688
Europe,,1821,50.603504
Europe,,1822,52.59672
Europe,,1823,55.645168
Europe,,1824,57.50648
Europe,,1825,59.616944
Europe,,1826,60.100592
Europe,,1827,64.464416
Europe,,1828,65.039664
Europe,,1829,64.59632
Europe,,1830,87.030992
Europe,,1831,82.260464
Europe,,1832,82.084592
Europe,,1833,83.275392
Europe,,1834,85.100064
Europe,,1835,86.125984
Europe,,1836,100.041856
Europe,,1837,99.382336
Europe,,1838,103.009696
Europe,,1839,106.09112
Europe,,1840,113.05272
Europe,,1841,116.401616
Europe,,1842,122.582784
Europe,,1843,125.085296
Europe,,1844,132.112848
Europe,,1845,144.002528
Europe,,1846,145.05776
Europe,,1847,157.299184
Europe,,1848,156.991408
Europe,,1849,165.242736
Europe,,1850,177.04448
Europe,,1851,174.102288
Europe,,1852,180.675504
Europe,,1853,186.944608
Europe,,1854,221.8552
Europe,,1855,221.8552
Europe,,1856,237.075456
Europe,,1857,238.618
Europe,,1858,241.864304
Europe,,1859,255.040048
Europe,,1860,281.900832
Europe,,1861,300.590896
Europe,,1862,305.141584
Europe,,1863,321.336464
Europe,,1864,346.746304
Europe,,1865,371.32808
Europe,,1866,383.95056
Europe,,1867,402.23392
Europe,,1868,406.535456
Europe,,1869,425.822752
Europe,,1870,431.915984
Europe,,1871,460.425568
Europe,,1872,497.234112
Europe,,1873,523.156912
Europe,,1874,485.344432
Europe,,1875,535.555888
Europe,,1876,548.266304
Europe,,1877,547.097488
Europe,,1878,553.267664
Europe,,1879,571.129664
Europe,,1880,642.552016
Europe,,1881,659.681216
Europe,,1882,682.207488
Europe,,1883,721.053216
Europe,,1884,716.465888
Europe,,1885,719.18824
Europe,,1886,718.580016
Europe,,1887,746.030704
Europe,,1888,790.368768
Europe,,1889,827.649968
Europe,,1890,866.074336
Europe,,1891,896.866592
Europe,,1892,883.401392
Europe,,1893,859.662336
Europe,,1894,932.788448
Europe,,1895,958.223936
Europe,,1896,1001.862176
Europe,,1897,1052.253168
Europe,,1898,1086.555536
Europe,,1899,1158.087808
Europe,,1900,1215.447728
Europe,,1901,1205.210512
Europe,,1902,1205.679504
Europe,,1903,1254.440016
Europe,,1904,1278.637072
Europe,,1905,1314.547936
Europe,,1906,1357.460704
Europe,,1907,1504.21856
Europe,,1908,1528.085856
Europe,,1909,1529.983808
Europe,,1910,1549.703456
Europe,,1911,1585.812176
Europe,,1912,1645.24592
Europe,,1913,1781.751904
Europe,,1914,1587.351056
Europe,,1915,1505.435008
Europe,,1916,1573.988448
Europe,,1917,1546.197008
Europe,,1918,1399.15336
Europe,,1919,1188.095968
Europe,,1920,1376.854256
Europe,,1921,1257.396864
Europe,,1922,1403.051856
Europe,,1923,1341.40872
Europe,,1924,1548.355104
Europe,,1925,1533.515904
Europe,,1926,1318.255904
Europe,,1927,1682.17904
Europe,,1928,1690.778448
Europe,,1929,1835.16936
Europe,,1930,1741.42592
Europe,,1931,1630.938
Europe,,1932,1520.508704
Europe,,1933,1568.126048
Europe,,1934,1719.764352
Europe,,1935,1809.39312
Europe,,1936,1925.351392
Europe,,1937,2086.5564
Europe,,1938,2098.724544
Europe,,1939,2147.510704
Europe,,1940,2291.527888
Europe,,1941,2198.83968
Europe,,1942,2088.564272
Europe,,1943,2167.67736
Europe,,1944,1935.266176
Europe,,1945,1282.081232
Europe,,1946,1711.41776
Europe,,1947,1973.294832
Europe,,1948,2125.896768
Europe,,1949,2322.20656
Europe,,1950,2471.408304
Europe,,1951,2725.627616
Europe,,1952,2816.29696
Europe,,1953,2899.938752
Europe,,1954,3088.286672
Europe,,1955,3367.813232
Europe,,1956,3592.266208
Europe,,1957,3754.119744
Europe,,1958,3803.385888
Europe,,1959,3852.013887
Europe,,1960,4088.549363
Europe,,1961,4236.03652
Europe,,1962,4472.622223
Europe,,1963,4786.480239
Europe,,1964,5007.3701
Europe,,1965,5157.387972
Europe,,1966,5304.831672
Europe,,1967,5418.252815
Europe,,1968,5672.762988
Europe,,1969,5987.45876
Europe,,1970,6319.523035
Europe,,1971,6552.435446
Europe,,1972,6774.905453
Europe,,1973,7092.169144
Europe,,1974,7112.420369
Europe,,1975,7150.330798
Europe,,1976,7553.036303
Europe,,1977,7604.368618
Europe,,1978,7851.393465
Europe,,1979,8053.27665
Europe,,1980,8053.564437
Europe,,1981,7780.745521
Europe,,1982,7709.490779
Europe,,1983,7727.017153
Europe,,1984,7786.678839
Europe,,1985,8108.292769
Europe,,1986,8132.320142
Europe,,1987,8146.620914
Europe,,1988,8194.428596
Europe,,1989,8162.34184
Europe,,1990,8366.085414
Europe,,1991,8014.92238
Europe,,1992,7090.096128
Europe,,1993,6802.959442
Europe,,1994,6449.311382
Europe,,1995,6433.814635
Europe,,1996,6480.101415
Europe,,1997,6280.248095
Europe,,1998,6249.670464
Europe,,1999,6161.683105
Europe,,2000,6165.187298
Europe,,2001,6298.05489
Europe,,2002,6257.632653
Europe,,2003,6398.286573
Europe,,2004,6426.921347
Europe,,2005,6416.502098
Europe,,2006,6512.917544
Europe,,2007,6461.464175
Europe,,2008,6390.157039
Europe,,2009,5882.725719
Europe,,2010,6107.598693
Europe,,2011,6031.360603
Europe,,2012,5974.188667
Europe,,2013,5820.675605
Europe,,2014,5595.415942
Europe,,2015,5600.982152
Europe,,2016,5595.406732
Europe,,2017,5632.967198
Europe,,2018,5627.102014
North America,,1751,0
North America,,1752,0
North America,,1753,0
North America,,1754,0
North America,,1755,0
North America,,1756,0
North America,,1757,0
North America,,1758,0
North America,,1759,0
North America,,1760,0
North America,,1761,0
North America,,1762,0
North America,,1763,0
North America,,1764,0
North America,,1765,0
North America,,1766,0
North America,,1767,0
North America,,1768,0
North America,,1769,0
North America,,1770,0
North America,,1771,0
North America,,1772,0
North America,,1773,0
North America,,1774,0
North America,,1775,0
North America,,1776,0
North America,,1777,0
North America,,1778,0
North America,,1779,0
North America,,1780,0
North America,,1781,0
North America,,1782,0
North America,,1783,0
North America,,1784,0
North America,,1785,0.003664
North America,,1786,0.003664
North America,,1787,0.003664
North America,,1788,0.003664
North America,,1789,0.003664
North America,,1790,0.003664
North America,,1791,0.003664
North America,,1792,0.003664
North America,,1793,0.003664
North America,,1794,0.003664
North America,,1795,0.003664
North America,,1796,0.003664
North America,,1797,0.003664
North America,,1798,0.003664
North America,,1799,0.003664
North America,,1800,0.25648
North America,,1801,0.271136
North America,,1802,0.29312
North America,,1803,0.300448
North America,,1804,0.337088
North America,,1805,0.344416
North America,,1806,0.337088
North America,,1807,0.381056
North America,,1808,0.395712
North America,,1809,0.406704
North America,,1810,0.42136
North America,,1811,0.450672
North America,,1812,0.487312
North America,,1813,0.523952
North America,,1814,0.564256
North America,,1815,0.60456
North America,,1816,0.666848
North America,,1817,0.721808
North America,,1818,0.784096
North America,,1819,0.765776
North America,,1820,0.795088
North America,,1821,0.831728
North America,,1822,0.868368
North America,,1823,0.905008
North America,,1824,1.018592
North America,,1825,1.139504
North America,,1826,1.31904
North America,,1827,1.450944
